uuid,slug,name
11e81bc2-0e94-a41e-b152-a0369fe50396,creedence-clearwater-revival,Creedence Clearwater Revival
11e81bd0-7a67-d07c-8ed0-a0369fe50396,swae-lee,Swae Lee
11e81bc4-1b2e-09c0-a65b-a0369fe50396,eladio-carrion,Eladio Carrion
11e81bba-738a-d31e-b317-a0369fe50396,a-ap-rocky,A$AP Rocky
11e81bc0-9d84-6e18-8f8d-a0369fe50396,glass-animals,Glass Animals
11e81bc7-d947-1b74-a655-a0369fe50396,pharrell-williams,Pharrell Williams
cc9e3ab6-c3c3-11e8-a5b8-525400009efb,giveon,Giveon
11e81bc7-5575-63b4-bd3b-a0369fe50396,alan-walker,Alan Walker
11e81bc8-ed90-75f2-a568-a0369fe50396,madonna,Madonna
11e81bcb-2085-32d4-af24-a0369fe50396,green-day,Green Day
11e81bbb-acfa-5eca-9039-a0369fe50396,bon-jovi,Bon Jovi
11e81bcc-fc3d-6b6a-9a6b-a0369fe50396,frank-ocean,Frank Ocean
987b2072-2be8-11e9-a8b7-549f35141000,pop-smoke,Pop Smoke
b316390e-c1ca-11e8-8e11-525400009efb,polo-g,Polo G
11e81bc9-97e6-8488-963f-a0369fe50396,kodak-black,Kodak Black
11e81bba-57e6-3220-a3c7-a0369fe50396,sabrina-carpenter,Sabrina Carpenter
11e81bcd-8af8-ffc2-a794-a0369fe50396,lizzo,Lizzo
11e81bc9-9a0b-a932-b7d7-a0369fe50396,gunna,Gunna
11e81bce-3742-b638-9592-a0369fe50396,shreya-ghoshal,Shreya Ghoshal
11e81bc3-1507-24ce-b64c-a0369fe50396,the-rolling-stones,The Rolling Stones
11e83fec-e774-7662-9d84-a0369fe50396,megan-thee-stallion,Megan Thee Stallion
11e81bc7-b8eb-c74e-b743-a0369fe50396,nicky-jam,Nicky Jam
11e81bc9-1a2f-5b0a-a48b-a0369fe50396,morgan-wallen,Morgan Wallen
11e81bd1-3c51-4394-a903-a0369fe50396,bee-gees,Bee Gees
11e81bd2-2acf-e1a6-85f2-a0369fe50396,tyga,Tyga
11e81bc9-dd76-21f2-a819-a0369fe50396,panic-at-the-disco,Panic! at the Disco
11e81bbb-bc45-c914-8a23-a0369fe50396,tame-impala,Tame Impala
11e81bc9-c55f-3518-87ed-a0369fe50396,daniel-caesar,Daniel Caesar
11e81bcc-ef04-14bc-9708-a0369fe50396,maneskin,Måneskin
11e81bc6-bf14-928c-9376-a0369fe50396,alicia-keys,Alicia Keys
11e81bca-e114-4de2-8dfa-a0369fe50396,the-police,The Police
11e81bc1-c100-568a-b08b-a0369fe50396,whitney-houston,Whitney Houston
11e81bc8-d282-ac12-ba67-a0369fe50396,lost-frequencies,Lost Frequencies
11e81bbe-9694-9b3e-9b4d-a0369fe50396,christina-aguilera,Christina Aguilera
11e81bd3-4a1f-de5c-8a88-a0369fe50396,mariah-carey,Mariah Carey
11e81bc1-8038-5986-befd-a0369fe50396,kid-cudi,Kid Cudi
d5adfc7a-6bf4-11e9-849a-801844edfa71,nicki-nicole,Nicki Nicole
11e81bcc-9d37-6a3a-b044-a0369fe50396,john-legend,John Legend
11e81bba-bf16-16e0-86c9-a0369fe50396,mark-ronson,Mark Ronson
11e81bba-56a5-1912-b97a-a0369fe50396,martin-garrix,Martin Garrix
11e81bcc-7d61-b332-89c0-a0369fe50396,zara-larsson,Zara Larsson
11e81bd2-ddd7-d8b2-8c0d-a0369fe50396,conan-gray,Conan Gray
11e81bcd-7be4-9848-9e44-a0369fe50396,niall-horan,Niall Horan
48594eda-ec35-11e9-87cb-801844ee83a6,eslabon-armado,Eslabon Armado
11e81bbb-44be-7a58-851d-a0369fe50396,tini,TINI
11e83fea-7efc-a08e-aabc-aa1c026db3d8,duki,Duki
11e81bd1-e96f-6efc-a5d8-a0369fe50396,blackpink,BLACKPINK
1413177f-7d2f-42fd-9faa-cb4ac2daba63,yng-lvcas,Yng Lvcas
11e81bbb-fd11-fa62-8ae4-a0369fe50396,aerosmith,Aerosmith
11e81bc3-ed6b-5646-9612-a0369fe50396,twenty-one-pilots,twenty one pilots
11e83fe7-2483-1e4c-bb40-a0369fe50396,central-cee,Central Cee
11e81bc3-07ba-3702-979f-a0369fe50396,dr-dre,Dr. Dre
11e81bc3-412c-4d36-b30a-a0369fe50396,alok,Alok
11e81bbe-e4ef-b232-ba90-a0369fe50396,anitta,Anitta
11e81bc8-75ff-fec2-ba51-a0369fe50396,sech,Sech
11e81bc6-b9ba-cf54-8706-a0369fe50396,fall-out-boy,Fall Out Boy
11e81bbe-e686-43a4-835c-a0369fe50396,2pac,2Pac
11e81bc2-bc7f-4cf0-9293-a0369fe50396,wisin-yandel,Wisin & Yandel
11e83fee-1469-bdfc-86ec-aa1c026db3d8,roddy-ricch,Roddy Ricch
11e81bc6-dcd3-4796-8752-a0369fe50396,childish-gambino,Childish Gambino
11e81bba-bbc8-ff20-84ef-a0369fe50396,swedish-house-mafia,Swedish House Mafia
11e81bd0-6726-daf8-a2d2-a0369fe50396,mac-miller,Mac Miller
11e81bc0-61c5-3b5a-a359-a0369fe50396,major-lazer,Major Lazer
67d3c8b4-c5bf-11e8-ba39-549f35141000,disney-4,Disney
